Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,CHAPTER NAME,GENUS,SPECIES,FAMILY,ORDER,CLASS,DEPTH RANGE (CM),HABITAT TYPE,HABITAT DESCRIPTION,LIVES IN INTERTIDAL ZONE,LIVES IN SUBTIDAL ZONE,ADDITIONAL NOTES,RAND,Source,Notes
Light and Smith Manual,Apolochus littoralis,Chris Meyer,MeyerC@si.edu,*Shore apolochus,Inventory,Amphipoda: Gammaridea,Apolochus,littoralis,Amphilochidae,*Amphipoda,*Malacostraca,0-200,Various substrates,Low intertidal rocks and shell and among coralline algae,Yes,Yes,Size: 2.3 mm.,0.992642072,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Apolochus picadurus,Chris Meyer,MeyerC@si.edu,*Sharp apolochus,Inventory,Amphipoda: Gammaridea,Apolochus,picadurus,Amphilochidae,*Amphipoda,*Malacostraca,200-600,Mud and rock bottoms,Mud and rock bottoms,No,Yes,Size: 2.7 mm.,0.498329424,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Argissa hamatipes,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Argissa,hamatipes,Argissidae,*Amphipoda,*Malacostraca,400-109600,"Mud, sand and rock benthos","""Cosmopolitan in mud, sand and rock benthos. A likely complex of species of which there are shallow and deep-water members. Males of eastern Pacific populations have carina on dorsal urosomites 1-3""",No,Yes,"""4.5 mm; 4 m-1,096 m.""",0.451963066,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Aristias veleronis,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Aristias,veleronis,Aristidae,*Amphipoda,*Malacostraca,0-1800,Commensal,"""A likely commensal with brachiopods, sponges, and ascidians. Possible synonym of A. pacificus Schellenberg, 1936; Aristias sp. A (1985, SCAMIT Newsletter 3[10]) in the sponge Staurocalyptus may also be this species""",Yes,Yes,"""6 mm; intertidal—18 m.""",0.02099656,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Aruga holmesi,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Aruga,holmesi,Lysianassidae,*Amphipoda,*Malacostraca,0-18300,Soft sediment,"""Soft sediment; Washington, California, Gulf of Mexico, Western Florida; perhaps two species, one in each ocean""",Yes,Yes,"""11.5 mm; intertidal—183 m.""",0.116231319,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Aruga oculata,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Aruga,oculata,Lysianassidae,*Amphipoda,*Malacostraca,100-45700,Shallow soft benthos,"""Most common in shallow soft benthos of California""",No,Yes,"""15 mm; 1 m-457 m.""",0.949525774,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Atylus georgianus,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Atylus,georgianus,Dexaminidae,*Amphipoda,*Malacostraca,0-300,Subtidal sand and eelgrass,"""Subtidal sand and eelgrass""",Yes,Yes,"""8 mm; intertidal—3 m.""",0.843801281,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Atylus levidensus,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Atylus,levidensus,Dexaminidae,*Amphipoda,*Malacostraca,0-300,"Various sediments, especially sand","""Various sediments but especially in sand""",Yes,Yes,"""12 mm; intertidal—3 m.""",0.900633424,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Atylus tridens,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Atylus,tridens,Dexaminidae,*Amphipoda,*Malacostraca,0-600,"Sand, eelgrass, and rocky bottoms","""Sand, eelgrass, and rocky bottoms, occasionally pelagic""",Yes,Yes,"""10 mm; intertidal—6 m.""",0.590916424,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Batea lobata,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Batea,lobata,Bateidae,*Amphipoda,*Malacostraca,0-800,Inshore sand and mud bottoms and pier pilings,"""Inshore sand and mud bottoms and pier pilings""",Yes,Yes,"""6 mm; intertidal—8 m.""",0.212059093,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Bemlos concavus,Chris Meyer,MeyerC@si.edu,*Concave amphipod,Inventory,Amphipoda: Gammaridea,Bemlos,concavus,Aoridae,*Amphipoda,*Malacostraca,0-300,Stony bottoms,"Stony bottoms, surf exposed bedrock, Phyllospadix, kelp, Corallina",Yes,Yes,Size: 6 mm.,0.707170233,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Byblis millsi,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Byblis,millsi,Ampeliscidae,*Amphipoda,*Malacostraca,0-10000,*Soft sediment,Not specified in text,Yes,Yes,"""10 mm; intertidal—100 m.""",0.235334262,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Byblis veleronis,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Byblis,veleronis,Ampeliscidae,*Amphipoda,*Malacostraca,500-42200,*Soft sediment,Not specified in text,No,Yes,"""14 mm; 5 m-422 m.""",0.014148715,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Calliopius carinatus,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Calliopius,carinatus,Calliopiidae,*Amphipoda,*Malacostraca,0-100,Surf-swash zone,"""Common in surf-swash zone, mainly along rocky shores, marine to mesohaline inshore waters""",Yes,No,"""9 mm; intertidal.""",0.547386474,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Calliopius pacificus,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Calliopius,pacificus,Calliopiidae,*Amphipoda,*Malacostraca,0-200,Inshore waters of bays and estuaries,"""Dominant in inshore waters of bays and estuaries, apparently moderately euryhaline, among submerged plants and algae and on floats""",Yes,Yes,"""15 mm; intertidal to shallow depths.""",0.196112427,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Carinonajna bicarinata,Chris Meyer,MeyerC@si.edu,*Two-keeled najnid,Inventory,Amphipoda: Gammaridea,Carinonajna,bicarinata,Najnidae,*Amphipoda,*Malacostraca,0-1000,Various substrates,In Phyllospadix and Laminaria holdfasts,Yes,Yes,Size: 8.5 mm.,0.774585575,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Carinonajna bispinosa,Chris Meyer,MeyerC@si.edu,*Two-spined najnid,Inventory,Amphipoda: Gammaridea,Carinonajna,bispinosa,Najnidae,*Amphipoda,*Malacostraca,0-1000,Various substrates,Various substrates,Yes,Yes,Size: 7.5 mm.,0.677675882,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Carinonajna carli,Chris Meyer,MeyerC@si.edu,*Carl's najnid,Inventory,Amphipoda: Gammaridea,Carinonajna,carli,Najnidae,*Amphipoda,*Malacostraca,0-1000,Various substrates,"Phyllospadix, boulders and gravel, Hedophyllum",Yes,Yes,Size: 8.2 mm.,0.285556333,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Carinonajna kitamati,Chris Meyer,MeyerC@si.edu,*Kelp-dwelling najnid,Inventory,Amphipoda: Gammaridea,Carinonajna,kitamati,Najnidae,*Amphipoda,*Malacostraca,0-1700,Kelp,Among Egregia and rarely Postelsia and Macrocystis,Yes,Yes,Najnidae are algivores that burrow into and form galls in the stipes and holdfasts of intertidal and shallow subtidal macrophytes. Size: 8 mm.,0.056573021,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Carinonajna lessoniophila,Chris Meyer,MeyerC@si.edu,*Lessoniopses najnid,Inventory,Amphipoda: Gammaridea,Carinonajna,lessoniophila,Najnidae,*Amphipoda,*Malacostraca,0-1000,Kelp,From galls in stipes of Lessoniopsis littoralis,Yes,Yes,Size: 9.2 mm.,0.406575953,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Carinonajna longimana,Chris Meyer,MeyerC@si.edu,*Long-handed najnid,Inventory,Amphipoda: Gammaridea,Carinonajna,longimana,Najnidae,*Amphipoda,*Malacostraca,0-100,Various substrates,"On Hedophyllum, Laminaria, and in Phyllospadix root mass communities on semiprotected beaches",Yes,No,Size: 5.5 mm.,0.214748584,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Cephalophoxoides homilis,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Cephalophoxoides,homilis,Phoxocephalidae,*Amphipoda,*Malacostraca,0-25000,Intertidal eelgrass beds and soft benthos,"""Intertidal eelgrass beds and soft benthos""",Yes,Yes,"""4.3 mm; intertidal—250 m.""",0.987086002,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ceradocus spinicauda,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Ceradocus,spinicauda,Melitidae,*Amphipoda,*Malacostraca,*0-100,*Marine,Not specified in text,*Yes,*No,Not specified in text,0.142484532,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Cerapus spp.,Chris Meyer,MeyerC@si.edu,*Tube-building amphipod,Inventory,Amphipoda: Gammaridea,Cerapus,spp.,Ischyroceridae,*Amphipoda,*Malacostraca,0-200,Various substrates,"Referred to previously in the eastern Pacific as the Atlantic species Cerapus tubularis Say, 1817, but Pacific taxa likely represent one or more undescribed native species; build thick, pliable, striped, cylindrical tubes open at both ends",Yes,Yes,Ischyroceridae construct tubes on hard surfaces in areas of high water velocity and include many of the most common amphipods of fouling communities. Size: 3.2 mm.,0.741347385,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Cheirimedeia macrocarpa,Chris Meyer,MeyerC@si.edu,*Large-clawed amphipod,Inventory,Amphipoda: Gammaridea,Cheirimedeia,macrocarpa,Isaeidae,*Amphipoda,*Malacostraca,0-100,Sand flats,In brackish to full marine waters on semiprotected sand flats; possibly introduced,Yes,No,Isaeidae are entirely marine suspension feeders that build tubes or occupy empty shells. Size: 5 mm.,0.206651062,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Cheirimedeia zotea,Chris Meyer,MeyerC@si.edu,*Zotea amphipod,Inventory,Amphipoda: Gammaridea,Cheirimedeia,zotea,Isaeidae,*Amphipoda,*Malacostraca,0-11300,Mixed mud and sand,In mixed mud and sand sediments,Yes,Yes,Size: 5 mm.,0.704445305,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Cheiriphotis megacheles,Chris Meyer,MeyerC@si.edu,*Large-clawed amphipod,Inventory,Amphipoda: Gammaridea,Cheiriphotis,megacheles,Isaeidae,*Amphipoda,*Malacostraca,0-1600,Various substrates,Abundant among Phyllospadix and Silvetia and under rocks in California; also reported widely from the warmer Pacific and Indian Oceans,Yes,Yes,"Cryptogenic, possible species complex. Size: 3 mm.",0.605646783,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Chelura terebrans,Chris Meyer,MeyerC@si.edu,*Wood-boring amphipod,Inventory,Amphipoda: Gammaridea,Chelura,terebrans,Cheluridae,*Amphipoda,*Malacostraca,0-100,Wood,"An introduced cosmopolitan mid-latitude wood-boring species that was not reported from the eastern Pacific until the 1950s. Warm, high salinity protected areas of bays and estuaries",Yes,Yes,Cheluridae invade holes that the isopod Limnoria make in wood; the chelurids then enlarge the holes into galleries by scraping furrows in the soft grains. Size: 6 mm.,0.337920299,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Chevalia aviculae,Chris Meyer,MeyerC@si.edu,*Bird-like amphipod,Inventory,Amphipoda: Gammaridea,Chevalia,aviculae,Isaeidae,*Amphipoda,*Malacostraca,0-3500,Soft benthos,"Reported also in the Indian Ocean, South Africa, and the Caribbean Sea; cryptogenic; soft benthos",Yes,Yes,Size: 4 mm.,0.135973712,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Chromopleustes lineatus,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Chromopleustes,lineatus,Pleustidae,*Amphipoda,*Malacostraca,0-1700,Rocky habitats,"""A commensal and possible egg predator of echinoderms in rocky habitats. Four to five bright yellow and brown longitudinal body stripes""",Yes,Yes,"""9 mm; shallow subtidal—17 m.""",0.148520424,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Chromopleustes oculatus,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Chromopleustes,oculatus,Pleustidae,*Amphipoda,*Malacostraca,0-200,Echinoderm predator,"""Predator of the sea cucumber Cucumaria miniata, and also associated with the brittle star Amphiodia urtica. Not clearly distinguished from Heteropleustes setosus or Pleusymptes pacifica""",Yes,Yes,"""11 mm; intertidal—2 m or more.""",0.560646416,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Coboldus hedgpethi,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Coboldus,hedgpethi,Iphimediidae,*Amphipoda,*Malacostraca,100-8200,Mixed sediments,"""In mixed sediments (especially cobbles) among algae and on harbor pilings""",Yes,Yes,"""4.5 mm; 1 m-82 m.""",0.292216061,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Columbaora cyclocoxa,Chris Meyer,MeyerC@si.edu,*Cyclic coxa amphipod,Inventory,Amphipoda: Gammaridea,Columbaora,cyclocoxa,Aoridae,*Amphipoda,*Malacostraca,0-1000,Algal-covered rocks,Under boulders and among Laminaria on exposed algal-covered rocky beaches,Yes,Yes,Size: 7 mm.,0.193476872,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Commensipleustes commensalis,Chris Meyer,MeyerC@si.edu,*Amphipod,Inventory,Amphipoda: Gammaridea,Commensipleustes,commensalis,Pleustidae,*Amphipoda,*Malacostraca,0-5000,Commensal,"""Commensal and possible lobster egg predator. Bousfield and Hendrycks (1995a) give northern records on sponges, indicating plasticity in the species or taxonomic complications""",Yes,Yes,"""5.5 mm; intertidal—50 m.""",0.20368221,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
