Project Request,Scientific Name,Native,Point of Contact for Submission,Email,Common Name,Survey Type,raw
Kathy Ann UC Berkelely Current and former names for California seaweeds,Platysiphonia clevelandii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Platysiphonia clevelandii (Farlow) G.F. Papenfuss
Kathy Ann UC Berkelely Current and former names for California seaweeds,Platysiphonia decumbens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Platysiphonia decumbens M.J. Wynne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Platysiphonia parva,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Platysiphonia parva P.C. Silva & Cleary
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pleonosporium squarrosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pleonosporium squarrosum Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pleonosporium squarrulosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pleonosporium squarrulosum (Harvey) I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pleonosporium vancouverianum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pleonosporium vancouverianum (J. Agardh) J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pleurophycus gardneri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pleurophycus gardneri Setchell & Saunders ex Tilden
Kathy Ann UC Berkelely Current and former names for California seaweeds,Plocamiocolax pulvinatus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Plocamiocolax pulvinatus Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Plocamium oregonum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Plocamium oregonum M.S. Doty
Kathy Ann UC Berkelely Current and former names for California seaweeds,Plocamium pacificum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Plocamium pacificum Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Plocamium violaceum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Plocamium violaceum Farlow
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pneophyllum nicholsii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pneophyllum nicholsii (Setchell & Mason) P.C. Silva & P.W. Gabrielson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pollexfenia anacapensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pollexfenia anacapensis E.Y. Dawson & Neushul
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polyneura latissima,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polyneura latissima (Harvey) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polyneura latissimicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polyneura latissimicola J.M. Freese & C.E. Lane
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polyneurella hancockii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polyneurella hancockii E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polyneuropsis stolonifera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Polyneuropsis stolonifera M.J. Wynne, McBride & J.A. West"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia carettia,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia carettia G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia decussata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia decussata G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia determinata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia determinata (G.J. Hollenberg) A.M. Savoie & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia flaccidissima,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia flaccidissima G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia hendryi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia hendryi var. compacta (G.J. Hollenberg) G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia hendryi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia hendryi var. deliquescens (G.J. Hollenberg) G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia indigena,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia indigena G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia nathanielii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia nathanielii G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia pacifica G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia pacifica var. delicatula G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia pacifica var. distans G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia pacifica var. disticha G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia pacifica var. gracilis G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Polysiphonia villum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Polysiphonia villum J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Porphyra mumfordii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Porphyra mumfordii S.C. Lindstrom & K.M. Cole
Kathy Ann UC Berkelely Current and former names for California seaweeds,Porphyra purpurea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Porphyra purpurea (Roth) C. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Porphyridium marinum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Porphyridium marinum Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Porphyropsis coccinea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Porphyropsis coccinea var. dawsonii G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Porphyrostromium boryanum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Porphyrostromium boryanum (Montagne) P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Porphyrostromium pulvinatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Porphyrostromium pulvinatum (N.L. Gardner) J.A. West & Zuccarello
Kathy Ann UC Berkelely Current and former names for California seaweeds,Postelsia palmaeformis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Postelsia palmaeformis Ruprecht
Kathy Ann UC Berkelely Current and former names for California seaweeds,Prasiola meridionalis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Prasiola meridionalis Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Predaea masonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Predaea masonii (Setchell & N.L. Gardner) De Toni
Kathy Ann UC Berkelely Current and former names for California seaweeds,Prionitis andersoniana,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Prionitis andersoniana
Kathy Ann UC Berkelely Current and former names for California seaweeds,Prionitis australis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Prionitis australis (J. Agardh) J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Prionitis filiformis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Prionitis filiformis Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Prionitis lanceolata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Prionitis lanceolata (Harvey) Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Prionitis linearis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Prionitis linearis Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Prionitis simplex,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Prionitis simplex G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Prionitis sternbergii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Prionitis sternbergii (C. Agardh) J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pseudoceramium clarionense,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pseudoceramium clarionense (Setchell & N.L. Gardner) Barros-Barreto & Maggs
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pseudolithoderma nigrum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pseudolithoderma nigrum G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pseudulvella consociata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pseudulvella consociata Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pseudulvella prostrata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pseudulvella prostrata Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pterochondria woodii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pterochondria woodii (Harvey) G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pterocladiella caloglossoides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pterocladiella caloglossoides (M.A. Howe) B. Santelices
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pterocladiella capillacea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pterocladiella capillacea (S.G. Gmelin) B. Santelices & M.H. Hommersand
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pterocladiella luxurians,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pterocladiella luxurians (Collins) G.H. Boo & K.A. Miller
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pterocladiella media,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pterocladiella media (E.Y. Dawson) G.H. Boo & K.A. Miller
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pterosiphonia farlowii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pterosiphonia farlowii G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pterothamnion heteromorphum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pterothamnion heteromorphum (J. Agardh) Athanasiadis & G.T. Kraft
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pterothamnion pectinatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pterothamnion pectinatum (Kylin) Athanasiadis & G.T. Kraft
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pterothamnion recurvatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pterothamnion recurvatum (E.M. Wollaston) Athanasiadis & G.T. Kraft
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pterothamnion villosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pterothamnion villosum (Kylin) Athanasiadis & G.T. Kraft
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pterygophora californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pterygophora californica Ruprecht
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ptilota densa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ptilota densa C. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ptilota filicina,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ptilota filicina J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ptilota hypnoides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ptilota hypnoides Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ptilothamnion codicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ptilothamnion codicola (E.Y. Dawson) I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ptilothamnionopsis lejolisea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ptilothamnionopsis lejolisea (Farlow) P.S. Dixon
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pugetia fragilissima,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pugetia fragilissima Aylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pulvinia epiphytica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pulvinia epiphytica G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Punctaria hesperia,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Punctaria hesperia Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Punctaria occidentalis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Punctaria occidentalis Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pylaiella Bory,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pylaiella Bory
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pylaiella littoralis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pylaiella littoralis (Linnaeus) Kjellman
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pylaiella tenella,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pylaiella tenella Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia abbottiae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia abbottiae (V. Krishnamurthy) S.C. Lindstrom
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia bajacaliforniensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia bajacaliforniensis L.E. Aguilar-Rosas & J.R. Hughey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia columbiensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia columbiensis S.C. Lindstrom
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia conwayae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia conwayae (S.C. Lindstrom & K.M. Cole) S.C. Lindstrom
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia gardneri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia gardneri (G.M. Smith & G.J. Hollenberg) S.C. Lindstrom
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia hollenbergii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Pyropia hollenbergii (E.Y. Dawson) J.E. Sutherland, L.E. Aguilar-Rosas & R. Aguilar-Rosas"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia kanakaensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia kanakaensis (Mumford) S.C. Lindstrom
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia lanceolata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia lanceolata (Setchell & Hus) S.C. Lindstrom
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia montereyensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia montereyensis S.C. Lindstrom & J.R. Hughey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia nereocystis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia nereocystis (C.L. Anderson) S.C. Lindstrom
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia nitida,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Pyropia nitida L.K. Harden, K.M. Morales, & J.R. Hughey"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia perforata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia perforata (J. Agardh) S.C. Lindstrom
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia protolanceolata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia protolanceolata S.C. Lindstrom & J.R. Hughey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia pseudolanceolata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia pseudolanceolata (V. Krishnamurthy) S.C. Lindstrom
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia pulchra,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia pulchra (G.J. Hollenberg) S.C. Lindstrom & J.R. Hughey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia santacruzensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pyropia santacruzensis M. Guiry
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia suborbiculata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Pyropia suborbiculata (Kjellman) J.E. Sutherland, H.-G. Choi, M.S. Hwang & W.A. Nelson"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pyropia thuretii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Pyropia thuretii (Setchell & E.Y. Dawson) J.E. Sutherland, L.E. Aguilar-Rosas & R. Aguilar-Rosas"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ralfsia confusa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ralfsia confusa G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ralfsia fungiformis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ralfsia fungiformis (Gunnerus) Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ralfsia hesperia,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ralfsia hesperia Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ralfsia integra,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ralfsia integra G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ralfsia pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ralfsia pacifica G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Reticulobotrys catalinae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Reticulobotrys catalinae E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhizoclonium lubricum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhizoclonium lubricum Setchell & Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhizoclonium riparium,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhizoclonium riparium (Roth) Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhizoclonium riparium,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhizoclonium riparium var. implexum (Dillwyn) Rosenvinge
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhizoclonium tortuosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhizoclonium tortuosum (Dillwyn) Kützing
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodella violacea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodella violacea (Kornmann) W. Wehrmeyer
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodochorton purpureum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodochorton purpureum (Lightfoot) Rosenvinge
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodochorton tenue,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodochorton tenue Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhododiscus carmelita,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhododiscus carmelita G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhododrewia porphyrae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhododrewia porphyrae (K.M. Drew) S.L. Clayden & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodonematella subimmersa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodonematella subimmersa (Setchell & N.L. Gardner) S.L. Clayden &  G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodophysema minus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodophysema minus G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodophysema odonthaliae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodophysema odonthaliae M. Masuda & M. Ohta
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodymenia arborescens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodymenia arborescens E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodymenia arborescens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodymenia arborescens E.Y. Dawson (in California)
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodymenia californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodymenia californica Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodymenia callophyllidoides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodymenia callophyllidoides G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodymenia pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodymenia pacifica Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodymenia rhizoides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodymenia rhizoides E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodymenia sympodiophyllum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodymenia sympodiophyllum E.Y. Dawson & Neushul
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rhodymeniocolax botryoideus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rhodymeniocolax botryoideus Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rosenvingea antillarum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Rosenvingea antillarum (P.L. Crouan & H.M. Crouan) M.J. Wynne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rosenvingiella radicans,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Rosenvingiella radicans (Kützing) F. Rindi, L. McIvor & M. Guiry"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Rosenvingiellopsis constricta,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Rosenvingiellopsis constricta (Setchell & Gardner) S. Heesch, M. Pažoutová & F. Rindi"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sahlingia subintegra,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sahlingia subintegra (Rosenvinge) Kornmann
Kathy Ann UC Berkelely Current and former names for California seaweeds,Salishia firma,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Salishia firma (Kylin) B.E. Clarkston & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sarcodiotheca furcata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sarcodiotheca furcata (Setchell & N.L. Gardner) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sarcodiotheca gaudichaudii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sarcodiotheca gaudichaudii (Montagne) P.W. Gabrielson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sargassum agardhianum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sargassum agardhianum Farlow
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sargassum horneri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sargassum horneri (Turner) C. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sargassum muticum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sargassum muticum (Yendo) Fensholt
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sargassum palmeri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sargassum palmeri Grunow
Kathy Ann UC Berkelely Current and former names for California seaweeds,Scagelia occidentalis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Scagelia occidentalis (Kylin) E.M. Wollaston
Kathy Ann UC Berkelely Current and former names for California seaweeds,Schimmelmannia plumosa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Schimmelmannia plumosa (Setchell) I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Schizymenia dubyi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Schizymenia dubyi (Chauvin ex Duby) J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Schizymenia pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Schizymenia pacifica (Kylin) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Schizymenia sp.,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Schizymenia sp.
Kathy Ann UC Berkelely Current and former names for California seaweeds,Sciadophycus stellatus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Sciadophycus stellatus E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Scinaia confusa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Scinaia confusa (Setchell) J.M. Huisman
Kathy Ann UC Berkelely Current and former names for California seaweeds,Scinaia johnstoniae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Scinaia johnstoniae Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Scinaia latifrons,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Scinaia latifrons M.A. Howe
Kathy Ann UC Berkelely Current and former names for California seaweeds,Scinaia snyderae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Scinaia snyderae (Setchell) J.M. Huisman
Kathy Ann UC Berkelely Current and former names for California seaweeds,Scytosiphon dotyi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Scytosiphon dotyi M.J. Wynne
